sat1_epoch day,sat1_ballistic coefficient,sat1_inclination,sat1_right ascension of the ascending node,sat1_eccentricity,sat1_argument of perigee,sat1_mean anomaly,sat1_mean motion,sat1_apogee,sat1_perigee,sat2_epoch day,sat2_ballistic coefficient,sat2_inclination,sat2_right ascension of the ascending node,sat2_eccentricity,sat2_argument of perigee,sat2_mean anomaly,sat2_mean motion,sat2_apogee,sat2_perigee,inclination difference,eccentricity difference,ascending node difference,argument of perigee difference,mean anomaly difference,mean motion difference,apogee difference,perigee difference,close_approach
352.15175457,7.781e-05,97.5085,49.1471,0.0014328,257.2683,102.695,15.19280007,-6277.297212054129,-6277.565342585841,356.56521732,3.849e-05,97.4589,351.2663,0.0008078,271.0324,88.9979,15.07795351,-6276.880777492791,-6277.032713774544,0.04959999999999809,0.0006249999999999999,-302.1192,-13.764099999999985,13.697099999999992,0.11484656000000015,-0.41643456133806467,-0.5326288112964903,False
351.91667824,-0.01360305,42.9997,178.7084,0.0001753,272.2936,49.8229,15.70856288,-6279.474718908917,-6279.506802048293,356.29146953,-1.42e-06,43.0012,89.3676,0.000119,261.2629,98.8088,15.25906325,-6277.691255639445,-6277.713460478227,-0.0015000000000000568,5.63e-05,89.34080000000002,11.030700000000024,-48.98590000000001,0.44949963000000004,-1.7834632694712127,-1.7933415700663318,False
351.93017684,4e-08,0.0216,292.7519,0.0002261,338.6121,30.8454,1.00274675,-5797.949023499868,-5798.208098574567,352.15175457,7.781e-05,97.5085,49.1471,0.0014328,257.2683,102.695,15.19280007,-6277.297212054129,-6277.565342585841,-97.48689999999999,-0.0012067,243.60479999999998,81.34379999999999,-71.8496,-14.19005332,479.34818855426056,479.3572440112739,False
356.36527789,6.96e-06,53.2177,119.2773,0.0001256,99.592,260.5214,15.08849296,-6276.988737782755,-6277.0123504460735,355.87269324,5.8e-06,53.0555,148.9864,0.0001333,96.2142,263.8999,15.06406913,-6276.886425112282,-6276.9115124472055,0.16219999999999857,-7.699999999999997e-06,-29.709100000000007,3.3777999999999935,-3.378499999999974,0.024423829999999924,-0.10231267047311121,-0.10083799886797351,False
351.7175806,-2.7e-07,97.6559,349.986,0.0001011,95.1389,264.9951,15.01258385,-6276.674411460106,-6276.693482166061,355.78029003,-9e-08,87.9066,7.3736,0.0001775,93.5935,266.5398,13.15547447,-6267.9862210489555,-6268.02278445048,9.749300000000005,-7.64e-05,342.6124,1.5454000000000008,-1.5447000000000344,1.8571093800000007,-8.688190411150572,-8.6706977155809,False
352.11351083,-8.239e-05,53.0477,20.8598,0.0001358,84.7761,275.3383,15.06382176,-6276.885159538188,-6276.910717658066,356.33281986,-6.3e-07,2.9175,83.3475,0.0001405,178.5237,201.0497,1.00271702,-5797.986739505979,-5798.147733612506,50.1302,-4.700000000000006e-06,-62.4877,-93.74759999999999,74.2886,14.06110474,-478.8984200322093,-478.7629840455593,False
355.92188023,6.603e-05,43.0021,177.1025,0.0001674,252.9695,107.0964,15.02507907,-6276.720464654921,-6276.752024160293,356.4512657,2.371e-05,97.9304,127.8647,0.0011134,19.6975,340.4661,14.73017997,-6275.3759452302775,-6275.5886440565655,-54.92830000000001,-0.000946,49.23779999999999,233.27200000000002,-233.36969999999997,0.2948991000000003,-1.3445194246432948,-1.1633801037278317,False
351.91238306,4.01e-06,87.8921,69.0623,0.0001586,101.6675,258.4632,13.13471043,-6267.879631905084,-6267.9123364988955,355.56281622,7.726e-05,53.1584,47.1405,0.0001142,86.2594,273.8541,15.39616165,-6278.246451222862,-6278.267633714362,34.7337,4.440000000000001e-05,21.92179999999999,15.408100000000005,-15.390900000000045,-2.2614512199999997,10.3668193177773,10.355297215466635,False
356.36527789,6.96e-06,53.2177,119.2773,0.0001256,99.592,260.5214,15.08849296,-6276.988737782755,-6277.0123504460735,355.92188023,6.603e-05,43.0021,177.1025,0.0001674,252.9695,107.0964,15.02507907,-6276.720464654921,-6276.752024160293,10.215600000000002,-4.180000000000001e-05,-57.825199999999995,-153.3775,153.425,0.06341388999999964,-0.2682731278346182,-0.2603262857801383,False
351.45648521,-4.88e-05,53.0553,353.8145,0.0001429,101.3364,258.7786,15.06386283,-6276.884662477497,-6276.911556797763,355.67125254,9.74e-06,43.0053,88.9131,0.0001353,265.3288,94.74,15.02532259,-6276.724509169715,-6276.750016666369,10.050000000000004,7.599999999999995e-06,264.9014,-163.9924,164.03859999999997,0.03854023999999967,-0.16015330778191128,-0.16154013139384915,False
356.06856274,-1.187e-05,53.0556,3.3506,0.000142,95.8943,264.2208,15.06391522,-6276.884965381657,-6276.9116902565565,356.34371586,5.356e-05,53.162,50.3111,0.0001568,88.4832,271.6352,15.3959475,-6278.241640234297,-6278.270724695476,-0.10640000000000072,-1.479999999999998e-05,-46.9605,7.411100000000005,-7.4144000000000005,-0.33203227999999996,1.356674852640026,1.3590344389194797,False
352.11351083,-8.239e-05,53.0477,20.8598,0.0001358,84.7761,275.3383,15.06382176,-6276.885159538188,-6276.910717658066,352.07113575,0.00017874,53.0537,281.1031,0.0001616,99.5356,260.5816,15.06378066,-6276.882560512126,-6276.912974353691,-0.006000000000000227,-2.5800000000000004e-05,-260.2433,-14.759500000000003,14.756700000000023,4.10999999989059e-05,-0.002599026062853227,0.002256695625874272,False
351.91667824,-0.01360305,42.9997,178.7084,0.0001753,272.2936,49.8229,15.70856288,-6279.474718908917,-6279.506802048293,355.78029003,-9e-08,87.9066,7.3736,0.0001775,93.5935,266.5398,13.15547447,-6267.9862210489555,-6268.02278445048,-44.9069,-2.1999999999999993e-06,171.3348,178.70010000000002,-216.7169,2.553088410000001,-11.488497859961171,-11.484017597813363,False
352.13573162,3.12e-06,98.3007,346.1375,0.0014714,145.806,214.4071,14.24904908,-6273.200369853521,-6273.487751751391,354.86330806,0.00014573,97.6314,138.3539,0.0010194,224.4057,135.6362,15.21157228,-6277.412968198392,-6277.603579130046,0.6693000000000069,0.00045200000000000014,207.78359999999998,-78.59969999999998,78.77090000000001,-0.9625231999999997,4.212598344871367,4.115827378654103,False
351.00628477,1.453e-05,53.216,33.338,0.0001575,85.8892,274.228,15.08840147,-6276.985359157378,-6277.014969105677,355.60235285,0.00014745,53.213,70.3845,0.0001527,182.4093,177.6894,15.14515203,-6277.220811651186,-6277.249447442622,0.0030000000000001137,4.800000000000008e-06,-37.0465,-96.5201,96.5386,-0.05675055999999934,0.23545249380731548,0.23447833694535802,False
355.8184647,-3.26e-06,69.9993,143.5112,0.0002773,270.3044,89.7797,14.98321322,-6276.534544571838,-6276.586920589549,356.46876995,2.8e-07,87.9062,7.248,0.0001651,86.8301,273.3018,13.15549738,-6267.987617789112,-6268.021626862819,-17.906899999999993,0.00011220000000000002,136.2632,183.47429999999997,-183.52210000000002,1.8277158399999998,-8.546926782725677,-8.565293726729578,False
351.82436351,-1.13e-06,52.0073,119.3055,0.0001097,109.8623,55.9836,12.3477346,-6263.548611617013,-6263.572183865749,351.91667824,-0.01360305,42.9997,178.7084,0.0001753,272.2936,49.8229,15.70856288,-6279.474718908917,-6279.506802048293,9.007600000000004,-6.560000000000001e-05,-59.40290000000002,-162.43130000000002,6.160700000000006,-3.36082828,15.926107291903463,15.934618182544,False
351.99459844,-4.084e-05,53.151,242.1529,6.11e-05,318.279,41.8164,15.30153269,-6277.869379964191,-6277.880759830649,356.4512657,2.371e-05,97.9304,127.8647,0.0011134,19.6975,340.4661,14.73017997,-6275.3759452302775,-6275.5886440565655,-44.7794,-0.0010523000000000002,114.28819999999999,298.5815,-298.6497,0.5713527200000001,-2.493434733913091,-2.292115774083868,False
356.1571023,4.112e-05,42.9996,280.2743,0.000107,262.3078,97.7643,15.02518245,-6276.726590617155,-6276.7467629683215,355.60235285,0.00014745,53.213,70.3845,0.0001527,182.4093,177.6894,15.14515203,-6277.220811651186,-6277.249447442622,-10.2134,-4.57e-05,209.88979999999998,79.89849999999998,-79.9251,-0.11996957999999935,0.4942210340304882,0.5026844743006222,False
352.13573162,3.12e-06,98.3007,346.1375,0.0014714,145.806,214.4071,14.24904908,-6273.200369853521,-6273.487751751391,356.29146953,-1.42e-06,43.0012,89.3676,0.000119,261.2629,98.8088,15.25906325,-6277.691255639445,-6277.713460478227,55.29950000000001,0.0013524000000000001,256.7699,-115.45689999999999,115.59830000000001,-1.0100141699999998,4.490885785924547,4.225708726835364,False
351.91667824,-0.01360305,42.9997,178.7084,0.0001753,272.2936,49.8229,15.70856288,-6279.474718908917,-6279.506802048293,355.87269324,5.8e-06,53.0555,148.9864,0.0001333,96.2142,263.8999,15.06406913,-6276.886425112282,-6276.9115124472055,-10.055800000000005,4.200000000000002e-05,29.72200000000001,176.07940000000002,-214.077,0.6444937500000005,-2.588293796634389,-2.595289601087643,False
355.9327848,1.02e-05,53.1601,185.0613,0.0001266,75.254,284.8601,15.30185814,-6277.86460088136,-6277.888179779328,355.56281622,7.726e-05,53.1584,47.1405,0.0001142,86.2594,273.8541,15.39616165,-6278.246451222862,-6278.267633714362,0.0016999999999995907,1.239999999999999e-05,137.92079999999999,-11.005399999999995,11.005999999999972,-0.09430350999999959,0.38185034150137653,0.37945393503378,False
351.7175806,-2.7e-07,97.6559,349.986,0.0001011,95.1389,264.9951,15.01258385,-6276.674411460106,-6276.693482166061,355.92188023,6.603e-05,43.0021,177.1025,0.0001674,252.9695,107.0964,15.02507907,-6276.720464654921,-6276.752024160293,54.653800000000004,-6.63e-05,172.8835,-157.8306,157.89869999999996,-0.012495219999999918,0.0460531948147036,0.05854199423265527,False
356.47623647,6e-07,88.989,336.021,0.0015816,149.1813,211.027,13.50906325,-6269.649608593836,-6269.969693905004,356.34371586,5.356e-05,53.162,50.3111,0.0001568,88.4832,271.6352,15.3959475,-6278.241640234297,-6278.270724695476,35.827000000000005,0.0014248000000000002,285.7099,60.6981,-60.60820000000001,-1.8868842499999996,8.592031640460846,8.301030790472396,False
352.11351083,-8.239e-05,53.0477,20.8598,0.0001358,84.7761,275.3383,15.06382176,-6276.885159538188,-6276.910717658066,356.55572601,8.791e-05,53.1597,197.566,0.0001783,92.6714,267.4495,15.39542097,-6278.237531291687,-6278.270604491077,-0.11200000000000188,-4.25e-05,-176.7062,-7.895300000000006,7.888800000000003,-0.33159921000000026,1.3523717534990283,1.359886833011842,False
352.13573162,3.12e-06,98.3007,346.1375,0.0014714,145.806,214.4071,14.24904908,-6273.200369853521,-6273.487751751391,355.78029003,-9e-08,87.9066,7.3736,0.0001775,93.5935,266.5398,13.15547447,-6267.9862210489555,-6268.02278445048,10.394100000000009,0.0012939000000000002,338.7639,52.212500000000006,-52.1327,1.093574610000001,-5.214148804565411,-5.464967300911667,False
352.07113575,0.00017874,53.0537,281.1031,0.0001616,99.5356,260.5816,15.06378066,-6276.882560512126,-6276.912974353691,355.9327848,1.02e-05,53.1601,185.0613,0.0001266,75.254,284.8601,15.30185814,-6277.86460088136,-6277.888179779328,-0.10640000000000072,3.500000000000001e-05,96.0418,24.281599999999997,-24.278500000000008,-0.2380774799999994,0.9820403692347099,0.9752054256368865,False
351.91667824,-0.01360305,42.9997,178.7084,0.0001753,272.2936,49.8229,15.70856288,-6279.474718908917,-6279.506802048293,355.92188023,6.603e-05,43.0021,177.1025,0.0001674,252.9695,107.0964,15.02507907,-6276.720464654921,-6276.752024160293,-0.002400000000001512,7.900000000000002e-06,1.6059000000000196,19.324100000000016,-57.273500000000006,0.6834838100000002,-2.754254253995896,-2.7547778879998077,False
351.45648521,-4.88e-05,53.0553,353.8145,0.0001429,101.3364,258.7786,15.06386283,-6276.884662477497,-6276.911556797763,351.93827979,0.00015407,97.4265,65.7279,0.0006115,61.6811,298.5042,15.22640462,-6277.511865220247,-6277.626131335353,-44.3712,-0.00046859999999999995,288.0866,39.6553,-39.72560000000004,-0.16254179000000057,0.6272027427503417,0.7145745375901242,False
351.71008076,9.93e-06,53.2198,340.1806,0.0001558,89.254,270.8631,15.08843434,-6276.985655496873,-6277.01494580319,356.4512657,2.371e-05,97.9304,127.8647,0.0011134,19.6975,340.4661,14.73017997,-6275.3759452302775,-6275.5886440565655,-44.71060000000001,-0.0009576000000000001,212.31590000000003,69.5565,-69.60300000000001,0.35825436999999916,-1.609710266595357,-1.426301746624631,False
