sat1_satellite_id,sat1_epoch,sat1_mean_motion,sat1_eccentricity,sat1_inclination,sat1_raan,sat1_argument_of_perigee,sat1_mean_anomaly,sat1_perigee,sat1_apogee,sat1_period,sat1_semi_major_axis,sat1_orbital_energy,sat1_orbital_angular_momentum,sat1_rev_number,sat1_bstar,sat1_mean_motion_derivative,sat1_cluster,sat2_satellite_id,sat2_epoch,sat2_mean_motion,sat2_eccentricity,sat2_inclination,sat2_raan,sat2_argument_of_perigee,sat2_mean_anomaly,sat2_perigee,sat2_apogee,sat2_period,sat2_semi_major_axis,sat2_orbital_energy,sat2_orbital_angular_momentum,sat2_rev_number,sat2_bstar,sat2_mean_motion_derivative,sat2_cluster,mean_motion_difference,eccentricity_difference,inclination_difference,raan_difference,argument_of_perigee_difference,mean_anomaly_difference,perigee_difference,apogee_difference,period_difference,semi_major_axis_difference,orbital_energy_difference,orbital_angular_momentum_difference,bstar_difference,mean_motion_derivative_difference,synodic_period,close_approach
STARLINK-2446,25034.55412506,15.06386899,7.47e-05,0.9260123599136235,4.248295460303885,0.24954717645014923,6.035400913273952,553.8713843706846,554.9060374440951,1.5932161927279191,6925.388710907389,-28778199.927767947,52540108340.207924,21643,-0.00030003,-4.746e-05,0,STARLINK-5356,25034.43384491,15.02536437,0.0001171,0.7505195036255937,3.1612747315645335,4.776823045709817,1.507597954580182,565.4028404032342,567.027536200334,1.5972990344193543,6937.215188301784,-28729139.213683277,52584950328.03131,9699,6.974100000000001e-06,-1.09e-06,0,0.038504619999999434,-4.24e-05,0.1754928562880298,1.0870207287393518,-4.527275869259667,4.527802958693769,-11.531456032549613,-12.121498756238907,-0.004082841691435135,-11.826477394394715,-49060.71408466995,-44841987.823387146,-0.0003070041,-4.6370000000000005e-05,623.3018271573161,False
GLOBALSTAR M077,25034.47901796,12.62270425,8.7e-05,0.9076846574384311,2.4982101860978716,1.9402057349550084,5.729673333531356,1420.046292894167,1421.40205290025,1.9013358409312304,7791.7241728972085,-25578449.19526892,55729567324.651665,66026,0.00017331,-7.3e-07,0,ONEWEB-0137,25034.55830599,13.1244235,0.0001882,1.5338494518594286,1.5695903042817685,1.6486519740678598,4.636879055626408,1219.4340090980786,1222.2915862551235,1.8286517499225747,7591.862797676601,-26251820.69425615,55010178676.82318,19916,-0.0012569,-4.39e-06,0,-0.5017192500000007,-0.0001012,-0.6261647944209975,0.9286198818161031,0.29155376088714857,1.0927942779049484,200.61228379608838,199.1104666451265,0.0726840910086557,199.86137522060744,673371.4989872277,719388647.8284836,0.0014302100000000001,3.6600000000000005e-06,-47.83551757282577,False
NAVSTAR 63 (USA 203),25033.22402170,2.00567281,0.0138073,0.9529811875154398,4.026678787873402,1.043157113978231,2.134919902295252,19822.30098770692,20555.745404254652,11.966059409261256,26560.023195980786,-7503766.823899432,102882548030.75986,11625,0.0,7.6e-07,2,HELLAS-SAT 4 & SGS-1,25034.54849133,1.00271198,0.0002747,0.001228711793404008,2.1313123067313797,0.777807726480525,3.5552147423614255,35782.31382232829,35805.47921647605,23.935088518639187,42164.896519402166,-4726685.877393107,129641602554.23912,2235,0.0,1.57e-06,1,1.0029608300000001,0.0135326,0.9517524757220358,1.8953664811420219,0.265349387497706,-1.4202948400661737,-15960.012834621368,-15249.733812221399,-11.969029109377932,-15604.87332342138,-2777080.946506325,-26759054523.479263,0.0,-8.1e-07,23.929149855234087,False
BEIDOU-3 M17,25033.94038144,1.86228075,0.0006122,0.9458829334475788,3.4772857912598787,5.1701277566589825,1.111430903657745,21518.396422166184,21552.565117220594,12.88742312350056,27906.48076969339,-7141718.1745267315,105468153463.05252,4224,0.0,9.1e-07,2,STARLINK-32292,25034.59547683,15.30190675,0.0001075,0.9278065583846736,3.1570667427379746,1.6543382567708573,4.630807055158718,481.6431739892978,483.1166506704485,1.56843198642548,6853.379912329873,-29080573.884637594,52266243688.53216,1399,2.7449e-05,4.54e-06,0,-13.439626,0.0005047000000000001,0.01807637506290516,0.3202190485219041,3.5157894998881254,-3.5193761515009734,21036.753248176887,21069.448466550144,11.318991137075079,21053.100857363515,21938855.71011086,53201909774.52036,-2.7449e-05,-3.63e-06,-1.7857639788488133,False
STARLINK-1079,25034.23878080,15.45059354,0.0008329,0.9257889577693681,4.892876968991928,1.7896885402630174,4.496879215006934,432.66917789350464,444.0121775944908,1.5533383839181598,6809.340677743998,-29268651.743538577,52098026062.50837,28048,0.0015877,0.00076628,0,STARLINK-5308,25034.20038380,14.98324519,0.0002514,1.2217549110055588,5.43744762088219,5.00845092672974,1.2762755061793576,577.4625577825427,580.9571232903654,1.6017891782227431,6950.209840536454,-28675424.983228557,52634176520.09542,11312,-0.00014143,-1.78e-05,0,0.46734834999999997,0.0005815,-0.2959659532361907,-0.544570651890262,-3.2187623864667225,3.2206037088275763,-144.79337988903808,-136.9449456958746,-0.04845079430458332,-140.86916279245634,-593226.7603100203,-536150457.5870514,0.0017291300000000002,0.00078408,51.35355672059114,False
STARLINK-30493,25033.53527500,15.30196499,0.0002081,0.9277681611411298,3.91633034591606,1.5881902781202721,4.697159237331788,480.9363380531995,483.7887075351864,1.5684260168994133,6853.362522794193,-29080647.67289489,52266176549.47685,7315,3.6370000000000006e-05,7.17e-06,0,XCUBE-1,25034.31252460,15.19965186,0.0004712,0.7853039156178405,2.1737866394079135,4.320401993020779,1.9634482846038168,509.83894947358294,516.3265090376326,1.5789835333767943,6884.082729255608,-28950875.336379174,52383182492.290436,681,0.00052818,0.00011313,0,0.10231313000000064,-0.00026310000000000005,0.1424642455232893,1.7425437065081466,-2.7322117149005067,2.7337109527279715,-28.902611420383437,-32.5378015024462,-0.010557516477381013,-30.72020646141482,-129772.33651571721,-117005942.81358337,-0.00049181,-0.00010596,234.57399846921382,False
ONEWEB-0137,25034.55830599,13.1244235,0.0001882,1.5338494518594286,1.5695903042817685,1.6486519740678598,4.636879055626408,1219.4340090980786,1222.2915862551235,1.8286517499225747,7591.862797676601,-26251820.69425615,55010178676.82318,19916,-0.0012569,-4.39e-06,0,2024-247Y,25034.29191712,15.21268165,0.0003559,0.7852986796300847,2.1713187438455934,4.446732414938633,1.8373028675866747,506.70267214949035,511.59996385764407,1.577631120677528,6880.151318003567,-28967418.256991405,52368225171.73489,681,0.0010337,0.00023318,0,-2.0882581499999997,-0.00016769999999999998,0.7485507722293439,-0.6017284395638249,-2.798080440870773,2.799576188039733,712.7313369485883,710.6916223974795,0.25102062924504676,711.7114796730339,2715597.562735256,2641953505.0882874,-0.0022906000000000003,-0.00023757,-11.492831956623741,False
STARLINK-5356,25034.43384491,15.02536437,0.0001171,0.7505195036255937,3.1612747315645335,4.776823045709817,1.507597954580182,565.4028404032342,567.027536200334,1.5972990344193543,6937.215188301784,-28729139.213683277,52584950328.03131,9699,6.974100000000001e-06,-1.09e-06,0,2024-173G,25034.53008197,15.4013888,0.0009259,1.6997464879199937,1.9758209236712045,3.0611137764510827,3.2243980546214126,446.51787703583886,459.15425666443116,1.558301028021575,6823.8360668501355,-29206478.430540092,52153444173.89796,2022,0.0013521,0.00054499,0,-0.3760244299999993,-0.0008088,-0.9492269842944,1.185453807893329,1.715709269258734,-1.7168001000412305,118.88496336739536,107.87327953590284,0.03899800639777928,113.37912145164864,477339.2168568149,431506154.1333542,-0.0013451259,-0.00054608,-63.825640264915734,False
STARLINK-2673,25034.48500869,15.06368081,9.06e-05,0.9259442920727957,1.9847517734536597,1.141288251171612,5.143787247587885,553.8189413608607,555.0738322461502,1.5932360956604714,6925.446386803505,-28777960.25968351,52540327052.49396,20353,0.0010882,0.0001595,0,ONEWEB-0457,25034.24747538,13.10375781,0.000163,1.53400827682136,2.368427502919573,1.656568787554906,4.628909882261801,1227.6039161051776,1230.0814648222686,1.8315356822059556,7599.842690463724,-26224256.082310986,55039082237.47787,14400,0.00036128,1.39e-06,0,1.9599229999999999,-7.24e-05,-0.6080639847485644,-0.38367572946591344,-0.515280536383294,0.5148773653260843,-673.784974744317,-675.0076325761183,-0.23829958654548422,-674.3963036602181,-2553704.1773725227,-2498755184.9839096,0.00072692,0.00015811,12.245379027645457,False
LAOSAT 1,25034.57751344,1.00273365,0.0001982,0.0002495820830351891,1.8117495020082257,3.147799044409885,3.2500823198937607,35784.93207356416,35801.64599773789,23.93457125927704,42164.289035651025,-4726753.977316832,129640671000.93086,3386,0.0,-3.39e-06,1,STARLINK-32204,25034.17249337,15.30186111,0.0001466,0.9278379743112095,0.04767890450598109,1.9097410128614474,4.3754671309212005,481.388832290555,483.398247276421,1.5684366644993009,6853.3935397834875,-29080516.06012053,52266295392.70081,2687,2.8974e-05,4.99e-06,0,-14.299127460000001,5.159999999999998e-05,-0.9275883922281744,1.7640705975022446,1.2380580315484377,-1.1253848110274398,35303.543241273605,35318.24775046147,22.366134594777737,35310.89549586754,24353762.082803696,77374375608.23004,-2.8974e-05,-8.38e-06,-1.6784240903605434,False
